zip_code,square_footage,bedrooms,bathrooms,year_built,lot_size_acres,renovation_status,property_type,garage_spaces,price
98101,880,1,1.5,1978,0.018,None,Condo,2,389500.0
85001,2672,5,6.0,2015,0.08,None,Single Family,1,911300.0
60601,2150,4,5.0,1950,0.065,None,Townhouse,2,741200.0
33101,843,2,2.0,2015,0.016,Minor (Cosmetic),Condo,1,470700.0
94102,3086,5,6.0,1969,0.4,Full Gut Rehab,Single Family,2,2541700.0
94102,3241,5,6.0,2018,0.08,Full Gut Rehab,Multi-Family,2,3849000.0
90210,3284,5,6.0,2011,0.09,None,Single Family,1,2922300.0
30301,2348,4,5.0,1992,0.3,None,Single Family,2,743200.0
33101,1233,1,1.5,2021,0.049,None,Condo,1,568000.0
60601,2469,4,5.0,2013,0.86,Minor (Cosmetic),Single Family,1,1153000.0
90210,1756,3,3.5,1947,0.109,Major (Structural/Systems),Townhouse,2,1448900.0
85001,1916,3,3.5,1959,0.082,Major (Structural/Systems),Townhouse,2,624200.0
75001,3629,6,6.0,1951,0.12,Full Gut Rehab,Multi-Family,2,1238100.0
10001,1562,3,3.5,2006,0.43,Major (Structural/Systems),Single Family,1,1634100.0
10001,3575,6,6.0,2023,0.17,Minor (Cosmetic),Single Family,4,3751800.0
10001,550,1,1.0,1989,0.041,None,Condo,2,460600.0
02108,1986,3,4.0,1951,0.08,None,Single Family,0,1245400.0
78701,2429,3,4.0,1993,0.26,Minor (Cosmetic),Single Family,2,1155400.0
80202,2809,5,6.0,2019,0.14,Minor (Cosmetic),Single Family,1,1502700.0
02108,3682,5,6.0,1993,0.1,None,Single Family,2,2492100.0
33101,1106,2,2.5,2013,0.38,None,Single Family,2,672000.0
94102,1571,3,3.5,1958,0.093,None,Townhouse,2,1078600.0
02108,900,1,1.0,1953,0.043,None,Townhouse,1,497300.0
98101,2523,4,5.5,1991,1.03,Major (Structural/Systems),Single Family,2,1483100.0
80202,2703,4,5.0,2017,0.16,Minor (Cosmetic),Single Family,3,1406000.0
75001,3693,6,6.0,1961,0.87,Minor (Cosmetic),Single Family,2,1061500.0
10001,1854,4,4.5,1943,0.087,None,Townhouse,2,1581300.0
78701,3283,4,6.0,1998,0.37,Major (Structural/Systems),Single Family,0,1727400.0
33101,1304,2,2.5,1973,0.048,Minor (Cosmetic),Condo,1,569300.0
90210,2173,3,4.0,2003,0.6,Minor (Cosmetic),Single Family,2,1927900.0
33101,606,1,1.5,1957,0.016,None,Condo,1,263600.0
10001,2706,4,5.5,2021,0.08,Major (Structural/Systems),Single Family,0,3290400.0
90210,577,1,1.5,1970,0.022,Major (Structural/Systems),Condo,1,465800.0
85001,3471,5,6.0,2023,0.23,Major (Structural/Systems),Single Family,2,1369400.0
85001,1043,1,1.5,1981,0.039,Minor (Cosmetic),Condo,1,278300.0
75001,3396,7,6.0,2013,0.38,None,Single Family,2,1045200.0
02108,931,2,2.0,1942,0.023,None,Condo,2,530800.0
94102,1920,3,3.5,2024,0.083,None,Townhouse,3,1565200.0
60601,2657,4,5.0,1994,0.37,None,Single Family,2,1030900.0
80202,1779,3,4.0,1949,0.081,None,Townhouse,4,751700.0
94102,948,1,1.5,2010,0.038,None,Condo,0,718000.0
78701,2794,3,5.0,1961,0.23,Major (Structural/Systems),Single Family,0,1281100.0
90210,1805,2,3.0,1962,0.26,Minor (Cosmetic),Single Family,1,1403700.0
30301,1592,3,3.5,2015,0.99,Major (Structural/Systems),Single Family,2,695400.0
02108,1534,3,4.0,1952,0.026,None,Condo,1,853000.0
33101,1354,2,2.5,1979,0.04,None,Condo,1,528900.0
02108,2549,4,5.5,1952,0.14,None,Single Family,2,1505300.0
78701,3748,6,6.0,1990,0.14,Major (Structural/Systems),Single Family,2,1895000.0
78701,1679,3,4.0,2003,0.114,None,Townhouse,2,814200.0
10001,2395,4,5.5,2022,0.096,None,Townhouse,1,2518000.0
85001,2631,5,6.0,2024,0.93,None,Single Family,2,991000.0
75001,2380,4,4.5,1952,1.83,Minor (Cosmetic),Multi-Family,2,771900.0
85001,3886,5,6.0,1968,0.08,Minor (Cosmetic),Single Family,1,1063100.0
30301,3243,5,6.0,2010,1.43,None,Single Family,3,1145400.0
33101,1745,3,4.0,1986,0.048,Minor (Cosmetic),Townhouse,2,855400.0
30301,3045,5,6.0,1965,0.08,Minor (Cosmetic),Single Family,1,886900.0
94102,2197,4,5.0,2009,0.51,None,Single Family,1,1718200.0
10001,3121,5,6.0,1962,0.15,Minor (Cosmetic),Single Family,1,2804400.0
90210,900,2,2.0,2014,0.113,None,Townhouse,3,837400.0
98101,1341,3,3.5,1995,0.084,Full Gut Rehab,Townhouse,1,849200.0
98101,3234,5,6.0,2024,0.17,Major (Structural/Systems),Single Family,2,2317100.0
02108,2312,3,4.5,1958,0.08,Minor (Cosmetic),Single Family,1,1583200.0
75001,2655,4,5.0,1989,0.22,None,Single Family,2,778700.0
98101,628,2,2.5,1974,0.021,Minor (Cosmetic),Condo,0,325700.0
02108,3885,6,6.0,1988,0.08,Major (Structural/Systems),Single Family,2,2709800.0
78701,1516,3,3.5,1985,0.037,Major (Structural/Systems),Condo,1,728100.0
94102,2349,4,5.0,2009,1.33,Major (Structural/Systems),Single Family,2,2191300.0
75001,2196,3,4.0,1992,0.17,None,Single Family,2,642900.0
90210,3272,5,6.0,1970,0.12,None,Single Family,3,2459100.0
85001,3986,6,6.0,2023,0.08,Minor (Cosmetic),Single Family,2,1548100.0
75001,2229,2,4.0,1961,0.058,None,Townhouse,3,590700.0
10001,4128,6,6.0,2006,0.12,None,Single Family,1,3834200.0
90210,1808,3,3.5,1947,0.15,Minor (Cosmetic),Single Family,1,1439900.0
75001,1885,3,4.0,1958,0.35,None,Single Family,2,544400.0
60601,1608,2,3.0,1970,0.08,Major (Structural/Systems),Single Family,3,709800.0
60601,2831,4,5.5,1971,0.08,Major (Structural/Systems),Single Family,1,1116200.0
75001,2631,4,5.5,2018,0.93,Minor (Cosmetic),Single Family,1,960600.0
90210,2386,4,5.0,1994,0.56,Major (Structural/Systems),Single Family,2,2243200.0
98101,1383,3,3.0,1970,0.021,Minor (Cosmetic),Condo,1,653000.0
94102,3424,6,6.0,2006,0.36,Minor (Cosmetic),Single Family,2,2853700.0
30301,1355,2,2.5,1990,0.31,None,Single Family,2,427100.0
33101,2722,3,4.0,2013,0.48,Major (Structural/Systems),Multi-Family,2,1742000.0
98101,3115,5,6.0,1966,0.69,Minor (Cosmetic),Single Family,2,1569500.0
90210,2149,4,4.5,1987,0.15,Minor (Cosmetic),Single Family,3,1871100.0
02108,1901,3,4.0,1982,0.38,None,Single Family,3,1178000.0
98101,3263,4,6.0,1990,0.57,None,Single Family,0,1652800.0
60601,648,1,1.5,2008,0.038,Major (Structural/Systems),Condo,1,285400.0
33101,2273,4,4.5,2014,0.89,Full Gut Rehab,Single Family,0,1418400.0
30301,1215,1,2.0,2010,0.03,Major (Structural/Systems),Condo,2,451500.0
80202,2069,2,3.0,2011,0.57,Major (Structural/Systems),Single Family,2,1086600.0
94102,3087,5,6.0,2020,0.84,None,Single Family,3,2804800.0
60601,900,1,1.5,1989,0.032,None,Condo,0,275600.0
60601,3556,5,6.0,2000,0.08,Major (Structural/Systems),Single Family,1,1558000.0
78701,1055,1,1.5,1980,0.043,None,Condo,2,416400.0
75001,3003,5,6.0,1990,0.65,None,Single Family,3,858500.0
78701,1361,2,3.0,2017,0.026,Major (Structural/Systems),Condo,1,721800.0
78701,2029,3,4.0,1963,0.09,Minor (Cosmetic),Single Family,1,863000.0
80202,900,1,1.0,1969,0.118,None,Townhouse,1,329700.0
90210,2770,3,4.5,1991,0.28,Minor (Cosmetic),Single Family,2,2363600.0
94102,1832,3,3.5,1989,0.081,Major (Structural/Systems),Townhouse,2,1548700.0
90210,2916,3,4.5,1996,1.02,Major (Structural/Systems),Single Family,3,2757900.0
33101,1020,1,1.5,2001,0.026,Minor (Cosmetic),Condo,0,474000.0
02108,2177,4,4.5,2018,0.66,Full Gut Rehab,Single Family,1,1987600.0
78701,2703,4,5.5,1992,0.096,Minor (Cosmetic),Townhouse,2,1321400.0
30301,1395,3,3.5,2007,1.2,None,Single Family,1,538100.0
10001,3050,5,6.0,2016,0.2,Minor (Cosmetic),Single Family,2,3284900.0
80202,2069,2,2.5,2008,0.83,None,Single Family,2,944100.0
60601,2248,3,4.0,1970,0.29,None,Single Family,2,819400.0
10001,2262,2,3.5,2015,0.23,None,Single Family,2,2196600.0
90210,1438,2,3.0,1969,0.064,None,Townhouse,3,1082300.0
02108,3656,6,6.0,1949,0.28,Minor (Cosmetic),Multi-Family,2,2446100.0
10001,3542,4,6.0,1983,0.3,None,Single Family,0,2807000.0
30301,2011,4,5.0,1945,0.112,None,Townhouse,1,539900.0
75001,2577,4,5.0,1966,0.43,None,Single Family,4,760100.0
33101,1760,2,2.5,1959,0.61,None,Single Family,2,812700.0
30301,1280,3,3.0,1959,0.041,None,Condo,1,339300.0
75001,1854,2,3.0,1951,0.021,None,Condo,2,435400.0
10001,2895,4,5.0,2024,0.08,Minor (Cosmetic),Multi-Family,2,3316900.0
30301,2218,2,3.5,1988,0.1,None,Single Family,1,632500.0
78701,903,2,2.5,1991,0.016,Minor (Cosmetic),Condo,0,356900.0
75001,2132,3,3.5,1949,0.17,Major (Structural/Systems),Single Family,4,728900.0
30301,800,2,2.0,1944,0.37,None,Single Family,2,274300.0
02108,2803,4,5.5,2003,0.27,None,Single Family,2,2143300.0
94102,2523,4,5.0,1997,0.4,Minor (Cosmetic),Multi-Family,3,2243500.0
10001,1075,2,2.0,1947,0.068,Major (Structural/Systems),Townhouse,2,892700.0
80202,1363,2,3.0,1969,0.018,Full Gut Rehab,Condo,1,583500.0
75001,1688,3,3.5,1956,0.08,None,Single Family,2,479200.0
30301,2245,3,4.0,2006,0.32,None,Single Family,2,702800.0
90210,3599,6,6.0,1960,0.08,None,Single Family,2,2540200.0
